ID	Fc1_3h	Fc2_3h	Fc3_3h	Fc1_24h	Fc2_24h	Fc3_24h	Fh1_3h	Fh2_3h	Fh3_3h	Fh1_24h	Fh2_24h	Fh3_24h	Mc1_3h	Mc2_3h	Mc3_3h	Mc1_24h	Mc2_24h	Mc3_24h	Mh1_3h	Mh2_3h	Mh3_3h	Mh1_24h	Mh2_24h	Mh3_24h
OG0002514	12.08206919	11.70530407	12.13640482	11.48822175	11.59613384	11.48629202	10.76923453	10.75808577	10.75808577	11.07929143	10.9942615	10.80255675	11.59319175	11.64690022	11.79952569	11.7005923	11.71241781	11.61650244	11.05335643	11.04266417	11.08077024	11.47955394	11.21048749	11.07261766
OG0000043	12.07342194	12.27925073	11.78939507	12.59723319	12.36431252	12.59144053	10.63573626	10.7779621	10.7779621	10.10556809	10.72931484	11.1389629	7.010946518	7.273059847	7.311738326	7.770338816	7.822072374	7.689814217	7.233445201	7.346733556	7.36175608	7.116902215	7.029214331	6.993265631
OG0002540	12.05450257	11.79058472	11.97676816	11.97259932	11.95288318	12.05722686	11.03841149	11.07898469	11.07898469	11.64609964	11.53675717	11.48036611	10.92992411	10.97135243	11.17884658	10.93501694	10.96258806	10.92569388	10.60557211	10.5266968	10.54046711	10.46820858	10.19546203	10.09646876
OG0003060	12.0428666	11.56556862	12.25856309	11.88648918	11.93338453	12.02914916	11.00129559	11.00953123	11.00953123	11.15747326	10.89229235	10.92966527	11.47337395	11.42984346	11.626132	11.45391569	11.54228272	11.50640082	10.93708908	10.80844056	10.78382903	10.63817342	10.35984069	10.2181515
OG0003177	12.02769524	11.84793037	12.03841835	12.12748497	12.04323239	12.01130764	10.67231926	10.65150471	10.65150471	11.30470496	10.97973957	10.99775108	9.694936242	9.792991965	9.530616825	6.748662488	7.817091102	9.391210288	9.164633191	8.78694066	8.964942082	7.600512849	8.636591996	9.172790262
OG0003324	12.0124744	11.62588232	11.99597556	12.07196507	12.06428469	12.16010462	10.62027482	10.75301195	10.75301195	11.2411311	11.07582006	11.10025496	10.02823347	10.06416881	10.29327736	10.48401524	10.33246068	10.22373386	9.776456227	9.604626613	9.783173418	9.811296656	9.273136564	9.177792497
OG0003392	11.98846102	11.63409406	11.77693057	11.63591307	11.66911537	11.55595033	10.65246857	10.64395537	10.64395537	11.30779849	11.13521548	11.09163373	11.01349715	11.08452739	11.27858362	10.96109151	11.03188795	10.95824892	10.31671145	10.16677569	10.18237573	10.88442087	10.75520389	10.60467553
OG0002073	11.93592009	11.50391019	12.06944305	11.49112656	11.62762052	11.39276819	10.37340896	10.25454444	10.25454444	10.96485345	10.61808261	10.54939001	10.80668172	10.89988934	11.12802913	10.6193213	10.80144808	10.80522473	10.215789	10.03482647	10.089988	10.15940466	9.922972191	9.821781634
OG0002124	11.91917618	11.54845107	12.05151485	11.63963012	11.60512297	11.50693233	10.57579448	10.620064	10.620064	10.96176077	10.64821375	10.63625302	10.0845719	10.11340359	10.33229731	10.37685903	10.2087355	9.97694211	9.488608195	9.353613089	9.347544083	10.12527914	9.977930993	9.843799854
OG0003020	11.8899564	11.68568616	11.80595744	11.91072142	12.05834694	12.30811715	10.83134683	11.02705243	11.02705243	11.34693473	11.24722142	11.07302354	10.68589986	10.550489	11.00505817	10.99499968	10.78691894	10.5268474	10.39257502	9.967822815	10.2518599	10.40145128	10.18939959	9.880884458
