ko	gene
ko04152	CP3g3031
ko04212	CP3g3031
ko03320	CP3g3031
ko00100	CP5g4544
ko00909	CP5g4544
ko00906	CP16g10041
ko00906	CP16g10040
ko04217	CP5g5005
ko04216	CP5g5005
ko04978	CP5g5005
ko04217	CP11g8039
ko04216	CP11g8039
ko04978	CP11g8039
ko00270	CP15g9796
ko00270	CP3g3208
ko00670	CP3g3208
ko00450	CP3g3208
ko00450	CP1g663
ko00270	CP1g663
ko00450	CP15g9962
ko00270	CP15g9962
ko00564	CP1g246
ko00270	CP4g3693
ko05206	CP4g3693
ko00270	CP1g292
ko05206	CP1g292
ko00270	CP4g3692
ko05206	CP4g3692
ko00270	CP4g4453
ko05206	CP4g4453
ko00270	CP8g6590
ko05206	CP8g6590
ko03015	CP3g3001
ko00900	CP15g9856
ko00900	CP8g6262
ko00900	CP1g900
ko00945	CP7g6910
ko00941	CP7g6910
ko00940	CP7g6910
ko00130	CP14g9409
ko00670	CP1g1001
ko01523	CP1g1001
ko00260	CP1g1001
ko00460	CP1g1001
ko00680	CP1g1001
ko00630	CP1g1001
ko00670	CP3g2690
ko01523	CP3g2690
ko00260	CP3g2690
ko00460	CP3g2690
ko00680	CP3g2690
ko00630	CP3g2690
ko00670	CP12g8783
ko01523	CP12g8783
ko00260	CP12g8783
ko00460	CP12g8783
ko00680	CP12g8783
ko00630	CP12g8783
ko00670	CP1g1425
ko01523	CP1g1425
ko00260	CP1g1425
ko00460	CP1g1425
ko00680	CP1g1425
ko00630	CP1g1425
ko00230	CP6g5938
ko00670	CP6g5938
ko00670	CP1g422
ko00230	CP1g422
ko01523	CP1g422
ko00670	CP1g1380
ko00970	CP1g1380
ko00670	CP2g2023
ko00260	CP2g2023
ko00630	CP2g2023
ko00770	CP11g7881
ko00250	CP11g7890
ko00240	CP11g7890
ko00250	CP11g7891
ko00240	CP11g7891
ko00220	CP2g2561
ko00220	CP5g4594
ko00220	CP14g9669
ko00220	CP3g2874
ko00710	CP1g1189
ko00030	CP1g1189
ko01051	CP1g1189
ko00030	CP1g1403
ko00030	CP15g9721
ko00030	CP3g3184
ko00220	CP4g4090
ko00220	CP4g4093
ko00650	CP3g3167
ko00630	CP3g3167
ko00380	CP3g3167
ko00310	CP3g3167
ko00720	CP3g3167
ko00640	CP3g3167
ko00900	CP3g3167
ko00362	CP3g3167
ko00280	CP3g3167
ko00620	CP3g3167
ko00072	CP3g3167
ko00071	CP3g3167
ko02020	CP3g3167
ko04975	CP3g3167
ko00010	CP3g2833
ko00020	CP3g2833
ko00620	CP3g2833
ko00010	CP1g158
ko00020	CP1g158
ko00620	CP1g158
ko00010	CP3g3330
ko00020	CP3g3330
ko00620	CP3g3330
ko00010	CP2g2267
ko00020	CP2g2267
ko00620	CP2g2267
ko00010	CP11g7949
ko00020	CP11g7949
ko00620	CP11g7949
ko00010	CP11g7948
ko00020	CP11g7948
ko00620	CP11g7948
ko00010	CP16g9981
ko00020	CP16g9981
ko00620	CP16g9981
ko00010	CP2g2275
ko00020	CP2g2275
ko00620	CP2g2275
ko00010	CP4g3870
ko00020	CP4g3870
ko00620	CP4g3870
ko00564	CP7g6690
ko00561	CP7g6690
ko00920	CP3g3116
ko00270	CP3g3116
